dataset_id,item_id,baseline_correct,improved_correct,diff_correct,baseline_invalid,improved_invalid
gsm8k,gsm8k_588,0,0,0,0,0
gsm8k,gsm8k_1214,0,0,0,0,0
gsm8k,gsm8k_57,0,0,0,0,0
gsm8k,gsm8k_906,0,0,0,0,0
gsm8k,gsm8k_1252,0,0,0,0,0
gsm8k,gsm8k_618,0,0,0,0,0
gsm8k,gsm8k_599,0,0,0,0,0
gsm8k,gsm8k_289,0,0,0,0,0
gsm8k,gsm8k_608,0,0,0,0,0
gsm8k,gsm8k_400,0,1,1,0,0
gsm8k,gsm8k_237,0,0,0,0,0
gsm8k,gsm8k_616,0,0,0,0,0
gsm8k,gsm8k_672,0,0,0,0,0
gsm8k,gsm8k_1132,0,0,0,0,0
gsm8k,gsm8k_463,0,0,0,0,0
gsm8k,gsm8k_222,0,0,0,0,0
gsm8k,gsm8k_945,0,0,0,0,0
gsm8k,gsm8k_238,0,0,0,0,0
gsm8k,gsm8k_730,0,0,0,0,0
gsm8k,gsm8k_55,1,1,0,0,0
gsm8k,gsm8k_772,0,0,0,0,0
gsm8k,gsm8k_176,0,0,0,0,0
gsm8k,gsm8k_15,0,0,0,0,0
gsm8k,gsm8k_66,0,0,0,0,0
gsm8k,gsm8k_479,0,0,0,0,0
gsm8k,gsm8k_896,0,0,0,0,0
gsm8k,gsm8k_1122,0,0,0,0,0
gsm8k,gsm8k_1005,0,0,0,0,0
gsm8k,gsm8k_480,0,0,0,0,0
gsm8k,gsm8k_187,0,0,0,0,0
gsm8k,gsm8k_275,0,0,0,0,0
gsm8k,gsm8k_868,0,0,0,0,0
gsm8k,gsm8k_921,0,0,0,0,0
gsm8k,gsm8k_562,0,0,0,0,0
gsm8k,gsm8k_1082,0,0,0,0,0
gsm8k,gsm8k_172,0,0,0,0,0
gsm8k,gsm8k_770,0,0,0,0,0
gsm8k,gsm8k_1191,0,0,0,0,0
gsm8k,gsm8k_413,0,0,0,0,0
gsm8k,gsm8k_537,0,0,0,0,0
gsm8k,gsm8k_1154,0,0,0,0,0
gsm8k,gsm8k_1308,1,1,0,0,0
gsm8k,gsm8k_454,0,0,0,0,0
gsm8k,gsm8k_280,0,0,0,0,0
gsm8k,gsm8k_177,0,0,0,0,0
gsm8k,gsm8k_923,0,0,0,0,0
gsm8k,gsm8k_677,0,0,0,0,0
gsm8k,gsm8k_1176,0,0,0,0,0
gsm8k,gsm8k_21,0,0,0,0,0
gsm8k,gsm8k_970,0,0,0,0,0
gsm8k,gsm8k_356,0,0,0,0,0
gsm8k,gsm8k_100,0,0,0,0,0
gsm8k,gsm8k_132,0,0,0,0,0
gsm8k,gsm8k_364,0,0,0,0,0
gsm8k,gsm8k_969,0,0,0,0,0
gsm8k,gsm8k_1273,0,0,0,0,0
gsm8k,gsm8k_143,0,0,0,0,0
gsm8k,gsm8k_442,0,0,0,0,0
gsm8k,gsm8k_464,0,0,0,0,0
gsm8k,gsm8k_1089,0,0,0,0,0
gsm8k,gsm8k_259,0,0,0,0,0
gsm8k,gsm8k_90,0,0,0,0,0
gsm8k,gsm8k_998,0,0,0,0,0
gsm8k,gsm8k_989,0,0,0,0,0
gsm8k,gsm8k_22,0,0,0,0,0
gsm8k,gsm8k_586,0,0,0,0,0
gsm8k,gsm8k_756,0,0,0,0,0
gsm8k,gsm8k_1261,0,0,0,0,0
gsm8k,gsm8k_296,0,0,0,0,0
gsm8k,gsm8k_383,0,0,0,0,0
gsm8k,gsm8k_709,0,0,0,0,0
gsm8k,gsm8k_1069,0,0,0,0,0
gsm8k,gsm8k_1141,0,0,0,0,0
gsm8k,gsm8k_179,0,0,0,0,0
gsm8k,gsm8k_731,0,0,0,0,0
gsm8k,gsm8k_1241,0,0,0,0,0
gsm8k,gsm8k_371,0,0,0,0,0
gsm8k,gsm8k_107,0,0,0,0,0
gsm8k,gsm8k_1115,0,0,0,0,0
gsm8k,gsm8k_851,0,0,0,0,0
gsm8k,gsm8k_303,0,0,0,0,0
gsm8k,gsm8k_535,0,0,0,0,0
gsm8k,gsm8k_544,0,1,1,0,0
gsm8k,gsm8k_374,0,0,0,0,0
gsm8k,gsm8k_387,0,0,0,0,0
gsm8k,gsm8k_434,0,0,0,0,0
gsm8k,gsm8k_706,0,0,0,0,0
gsm8k,gsm8k_347,0,0,0,0,0
gsm8k,gsm8k_811,0,0,0,0,0
gsm8k,gsm8k_35,0,0,0,0,0
gsm8k,gsm8k_892,0,0,0,0,0
gsm8k,gsm8k_314,0,0,0,0,0
gsm8k,gsm8k_2,0,0,0,0,0
gsm8k,gsm8k_944,0,0,0,0,0
gsm8k,gsm8k_687,0,0,0,0,0
gsm8k,gsm8k_1184,0,0,0,0,0
gsm8k,gsm8k_297,0,0,0,0,0
gsm8k,gsm8k_1068,0,1,1,0,0
gsm8k,gsm8k_792,0,0,0,0,0
gsm8k,gsm8k_932,0,0,0,0,0
gsm8k,gsm8k_405,0,0,0,0,0
gsm8k,gsm8k_863,0,0,0,0,0
gsm8k,gsm8k_953,0,0,0,0,0
gsm8k,gsm8k_49,0,0,0,0,0
gsm8k,gsm8k_474,1,1,0,0,0
gsm8k,gsm8k_410,0,0,0,0,0
gsm8k,gsm8k_705,0,0,0,0,0
gsm8k,gsm8k_528,0,0,0,0,0
gsm8k,gsm8k_220,0,0,0,0,0
gsm8k,gsm8k_1299,0,0,0,0,0
gsm8k,gsm8k_1212,0,0,0,0,0
gsm8k,gsm8k_368,0,0,0,0,0
gsm8k,gsm8k_926,0,0,0,0,0
gsm8k,gsm8k_243,0,0,0,0,0
gsm8k,gsm8k_56,0,0,0,0,0
gsm8k,gsm8k_889,0,0,0,0,0
gsm8k,gsm8k_1234,0,0,0,0,0
